Merek;Model;Daerah;Transmisi;Warna;Jenis;Tahun;Kilometer;Engine Size;Harga
Toyota;Avanza;Jawa_Barat;Automatic;Hitam;MPV;2022;37.000;1.5;200.000.000
Toyota;Avanza;Banten;Automatic;Hitam;MPV;2021;60.600;1.3;172.000.000
Toyota;Avanza;Jawa_Barat;Manual;Hitam;MPV;2021;75.000;1.3;167.000.000
Toyota;Avanza;Jakarta;Automatic;Silver;MPV;2021;57.316;1.5;201.000.000
Toyota;Avanza;Banten;Manual;Abu-Abu;MPV;2022;35.545;1.5;189.000.000
Toyota;Avanza;Jakarta;Automatic;Silver;MPV;2022;43.346;1.5;202.000.000
Toyota;Avanza;Jakarta;Automatic;Hitam;MPV;2021;42.638;1.3;159.000.000
Toyota;Avanza;Jawa_Barat;Manual;Putih;MPV;2019;84.000;1.3;136.000.000
Toyota;Avanza;Jawa_Barat;Automatic;Hitam;MPV;2021;45.000;1.3;164.000.000
Toyota;Avanza;Jawa_Barat;Manual;Putih;MPV;2019;67.000;1.3;139.000.000
Toyota;Avanza;Jawa_Barat;Automatic;Hitam;MPV;2021;60.602;1.3;174.000.000
Toyota;Avanza;Banten;Manual;Putih;MPV;2019;72.807;1.3;139.000.000
Toyota;Avanza;Banten;Manual;Silver;MPV;2021;78.665;1.5;167.000.000
Toyota;Avanza;Jakarta;Automatic;Abu-Abu;MPV;2022;35.000;1.5;201.000.000
Toyota;Avanza;Jakarta;Automatic;Hitam;MPV;2023;10.000;1.3;178.000.000
Toyota;Avanza;Banten;Automatic;Silver;MPV;2020;48.912;1.3;152.000.000
Toyota;Avanza;Banten;Manual;Hitam;MPV;2021;59.288;1.3;167.000.000
Toyota;Avanza;Banten;Manual;Putih;MPV;2021;81.928;1.3;167.000.000
Toyota;Avanza;Banten;Manual;Hitam;MPV;2021;77.289;1.3;167.000.000
Toyota;Avanza;Jakarta;Manual;Putih;MPV;2021;73.927;1.3;164.000.000
Toyota;Avanza;Jawa_Barat;Automatic;Silver;MPV;2021;63.888;1.3;168.000.000
Toyota;Avanza;Banten;Automatic;Hitam;MPV;2019;140.412;1.3;147.000.000
Toyota;Avanza;Banten;Automatic;Hitam;MPV;2024;7.000;1.3;189.500.000
Toyota;Avanza;Banten;Automatic;Abu-Abu;MPV;2023;20.309;1.5;210.000.000
Toyota;Avanza;Jawa_Barat;Automatic;Abu-Abu;MPV;2023;15.000;1.5;211.000.000
Toyota;Avanza;Banten;Automatic;Silver;MPV;2021;39.619;1.5;198.000.000
Toyota;Avanza;Jawa_Barat;Automatic;Putih;MPV;2021;45.762;1.3;168.000.000
